ID,SEX,AGE,RESEARCHER,CLV.L,CLV.R,MC1.L,MC1.R,MC2.L,MC2.R,MC3.L,MC3.R,MC4.L,MC4.R,MC5.L,MC5.R,Patella.L,Patella.R,Calcaneus.L,Calcaneus.R,Talus.L,Talus.R,Cuboid.L,Cuboid.R,Navicular.L,Navicular.R,Med Cuneiform.L,Med Cuneiform.R,Int Cuneiform.L,Int Cuneiform.R,Lat Cuneiform.L,Lat Cuneiform.R,MT1.L,MT1.R,MT2.L,MT2.R,MT3.L,MT3.R,MT4.L,MT4.R,MT5.L,MT5.R,HUMERUS.L,FEMUR.L,TOTAL MASS
87,F,83,MG,8.1,8.6,,,,,,1.9,,1.9,,0.8,5.3,4.5,12.2,11,8.4,6.9,3.2,2.4,2.4,2,2.3,2,1.5,1,0.9,0.6,3.8,4,2,2,2.4,2.2,2.5,2.5,2.6,2.2,56.8,172.9,1769.2
89,F,83,MG,12.8,12.2,2.3,2.3,3.6,3.4,3.4,3.4,2.2,1.9,1.6,1.6,5.6,5.6,12.4,,7.9,7.6,2.8,2.7,2.9,2.8,2.2,1.5,1.1,0.9,0.9,,5.5,4.5,2.6,2,2.9,2.6,2.3,2.2,2.3,2.5,73.5,207,2464.4
91,F,78,MG,12.7,12.3,2.1,2.7,3,,2.9,,1.9,1.9,1.6,1.7,,,17.9,15.7,11.1,11.7,2.3,,3.5,4.1,2.2,2.4,1.4,1.5,0.8,1.3,4,4.8,,2.7,,3.4,,2.9,,2.6,71,212.4,2489.1
93,F,96,MG,10.6,10.4,,,2.4,2.7,2.7,2.8,,1.8,1.8,1.8,6.2,7.1,15.3,14.9,8.8,8.4,2.3,2.5,2.5,2.6,2.4,2.3,1.1,1.3,0.9,1,4.5,4.2,2.5,2.7,2.3,2.8,2.6,3,2.6,2.8,47.5,179.1,1932.4
96,M,89,MG,21.6,19.2,3.6,4.1,5.7,5.8,4.9,4.2,3.1,2.8,3,2.3,,,32.3,34.9,21.2,22.4,6.1,6.2,7.8,7.8,5.3,5.4,2.8,2.9,3.9,3.9,8.3,9.1,6.6,6.7,5.2,4.9,5.1,5.6,4.6,3.8,144.8,364.9,3825
97,F,88,IS,11.6,10.7,1.4,0.9,1.9,2.1,2,2.1,1.1,1,1,1.2,,3.1,,,4.6,4.9,1.2,1.4,1,1.3,1.2,1.3,0.5,0.4,0.6,0.5,2.3,2.3,1,1.4,1.2,1.1,1.2,1,,,48.4,113.4,1760
99,F,55,IS,15.8,17,,3,4.5,5,,4.9,,2.7,,2.1,,,27.8,28.5,20.3,20.9,5.8,5.6,5.4,5.7,4.5,4.9,1.7,1.9,2.8,2.7,9.2,8.4,,5,3.9,4.5,3.9,4,4.6,4.6,105.5,358,3064.4
100,F,87,IS,19.7,18.4,,3.2,,5,4.8,4.5,,2.5,,1.7,,,30.5,33.3,21.9,22.5,7.2,6.8,5.5,5.7,4.2,4.7,2.1,2.8,3.1,3.4,7.9,9,3.7,4.7,4.3,4.6,4.3,3.9,4.4,4.1,108.1,366.5,3406.4
116,F,76,IS,12.1,12.4,2.2,2.3,3.4,3.9,3.2,3.2,1.8,1.6,1.8,1.6,,6.6,17.7,17.7,11.8,11.7,3.3,3,3.1,,2.6,2.8,1.3,1.3,1.6,1.9,5.9,5.5,3,3.1,,2.7,2.3,2.6,2.6,2.9,77.3,231.1,2543.6
125,M,79,IS,23.4,23,4.5,4.5,7.4,7,6,6.9,,4.3,3.5,3.9,15.8,16.2,46.4,54.4,28.2,30.6,7.8,8,9.4,10.1,6.8,7.5,2.2,2.5,3.4,3.3,11.3,13.1,6.4,7,5.3,6,5.5,6,7.5,7.9,151.4,475.9,4569.1
128,F,38,IS,17.3,16.6,2.4,2.6,4.7,4.8,4.7,4.8,2.6,3,1.8,2.3,8.9,9.5,25.7,26.4,18,18.6,4.5,4.5,5.3,5.1,4.4,4.2,2.1,1.9,2.2,2.3,7.7,7.6,6.2,5.8,4.8,4.7,4.4,4.6,4.1,4.6,105.7,354.1,3305.5
129,F,61,CC,21.9,23.5,2.9,3.3,4.7,4.8,3.9,4.3,2.4,2.5,1.7,2,12.2,12.5,25.2,25.9,17.1,18.5,5.1,4.6,4.1,4.6,4,4.1,1.6,1.9,2.6,2.2,5.6,7.2,4.3,5.1,3.8,3.9,2.8,,,,103.2,310.1,3350.9
132,F,77,CC,15.7,16.8,,,,,,,,,,,6.4,,10.4,9.6,8.7,6.9,2.3,1.7,2.9,2.3,2,1.4,0.7,,1.2,0.8,4.3,2.6,2.4,2.2,2.6,2,2.4,2.5,2.5,2.5,69.8,183.9,2455.8
135,M,66,CC,20.9,20.7,3.6,3.6,5.4,5.3,4.9,5.1,2.6,2.7,2.1,2.1,10.7,,31.4,31.5,20.1,20.5,4.8,4.9,5.8,6.2,5.7,5.5,2.1,2.4,3.1,2.7,8.8,8.7,4.9,5.1,3.8,3.8,3.4,4.3,4.3,3.5,130.5,464.4,4059.4
136,F,89,CC,11,10.9,1.9,,3,3,2.7,2.5,1.4,1.4,1.2,1.2,,,15,14.8,11.7,10.2,3.1,2.8,3.4,3.1,2.5,,1.4,,1.8,,4,4.1,3.8,3,2.5,2.6,1.9,2.9,2.8,2.9,76.5,310.3,2598
143,M,69,CC,19.9,20.7,,,,5.7,4.7,5.3,3,3,2.1,,12.8,,23.7,22.6,16.7,17.1,4,4,5.7,5.8,4.1,4.5,1.3,1.3,1.8,1.9,6.4,5.8,3.1,4.8,3,3,,2.6,2.3,2.1,136.6,377.9,3562.4
144,F,81,FC,20.4,20.2,2.6,2.9,4.5,4.3,3.5,4.2,2.3,2.3,2,2.3,8.8,9.7,21.6,26.5,16.1,19.6,5.7,5.9,5.3,6,4.5,5,2.3,2.3,2.9,2.9,8.3,10.1,4.9,5.4,4.4,4.8,4,4.6,5.3,5.7,125.7,313.4,3494.4
146,F,93,FC,,15.7,1.8,1.9,2.5,2.6,1.9,2.5,1.6,2,1.5,1.5,,5.8,16.7,17,9.9,11,2.9,3.3,3,3.2,3,2.6,1.2,1.2,1.4,1.5,4.9,5.2,3.8,3.6,3.2,3,2.9,3,3,3.3,74.8,205,2521.9
147,F,92,FC,10.6,10.7,1.2,1.6,2.6,3.3,2.8,3.4,1.8,1.9,1.3,,4.9,5.2,13.2,12,8.2,9.4,3,,2.6,2.9,2.1,2.6,0.7,1.1,1.1,1.6,4.4,4.4,2.8,2.6,1.9,2.3,1.7,2.1,,2.1,53.8,180.9,1857.8
150,M,79,FC,13.9,14.1,2.7,2.5,4,4.5,3.8,3.9,2.2,2.2,1.6,1.6,8.3,,20.1,20.6,13.9,14.4,3.5,3.7,3.7,4.1,3.1,3.3,1.5,1.6,2.1,1.9,6.7,6.9,3.5,3.2,3.5,3.2,2.5,2.8,2.8,2.6,86.5,279.1,2616.2
154,M,45,AV,23,22.5,3.5,3.7,4,5.1,5.4,5.1,1.8,2.4,2.2,,,,25.4,26.4,17.8,18.6,5.4,4.6,5.3,5.3,4.6,4.6,1.5,1.6,2,2.3,9.1,8.9,3.5,3.8,3.9,4.7,3.3,4.1,4.4,3.5,131.1,311.8,3188.2
155,M,94,AV,13.6,,2.5,2.7,3.7,4.1,,4.5,,2.5,1.5,1.9,,9.4,21.5,23.3,14.8,15.4,3.9,3.9,4.2,4.4,3.8,3.7,1.5,1.6,2,2.3,5.3,5.7,4,3.7,2.6,2.9,,2.6,,,88.5,273.3,2417.8
160,M,87,AV,17,16.4,3,2.3,4.7,4.1,4.8,3.8,2.4,2.2,2.1,1.9,12.1,12.6,29.3,29.8,20.1,20,5.7,5.4,8.2,8.3,6.1,6.4,2.3,2.2,2.8,2.6,7.4,8.4,5.5,5.4,3.9,3.8,3.6,4.3,,,98,319.1,3369
161,F,82,AV,15.8,16.7,3.3,3.4,4.9,5.4,4.5,4.8,2.7,3.2,2.3,2.5,12.8,12,34.6,41.4,19.2,24.4,4.9,5.3,5.8,5.8,4,4.5,2.1,2.2,2.6,2.7,8.7,9.6,4.9,5.4,4.7,4.5,4,4.1,4,3.8,87,363.3,3378.6
162,F,87,AV,10.6,,1.5,1.6,,3,1.5,1.8,,,,,6.6,5.9,15.4,14.6,10.6,10.9,3.6,3,3.5,2.7,3.4,,0.9,0.9,1.8,1.2,4.4,,2.4,1.9,2.4,1.4,2.4,,2.2,,59.9,183.2,2032.5
166,F,81,AV,,13.4,,,,,2.9,,,,,,5.3,3.7,14,16.6,8,9.7,2.3,3.4,2.5,3,2.1,2.6,,0.9,1,1.1,4.6,4.6,2.2,2.6,,1.6,,2.2,2.8,2.1,592.1,58.2,2032.4
178,F,83,DG,,10.4,2,2.1,3.4,3.9,3.1,,1.8,2.1,1.5,1.9,8.8,8.3,25.5,24.3,16.5,16.9,4.2,4.2,5.2,5.5,3.8,3.9,2,2.2,2.3,2.1,6.9,7,,,3.8,4,3.8,3.8,4.4,4.6,767.9,68.3,2607.2
179,M,86,DG,19.1,18.1,3.1,2.7,4.5,4.5,4.9,5.1,,2.2,,,8.4,8.9,22.3,22.6,14.3,14.9,3.9,3.5,4.3,4.4,4.1,4.3,1.3,1.5,1.6,,8.2,,4.1,3.9,3.4,3,4,3.5,,,692.8,97.7,3358
180,M,86,DG,15.2,14.4,,2,4.5,4.5,3.8,,1.4,,,,9.3,10.8,20,20.2,,16.2,3,3.2,3.5,3.5,2.9,2.7,0.8,1.1,1.4,1.4,5.3,5.6,,2.3,2.1,2,2.5,2.5,3.4,,478.5,89.6,2438.5
183,F,81,DG,19,18.5,1.6,2,,2.4,3.7,4,,2.4,1.7,1.9,9.8,10.9,26.6,25.7,14.4,14.5,4.2,4.2,3.8,4.2,3.5,3.6,1.3,1.5,2.1,2.4,7.4,7.9,4.6,4.5,4.8,4.1,4.5,4.7,,4.7,738.7,93.4,2764.4
